0194B;hu_b1_mny12_0215
0219A;hu_b1_mny12_0240
0235A;hu_b1_mny12_0256
0236B;hu_b1_mny12_0257
0242B;hu_b1_mny12_0263
0248B;hu_b1_mny12_0269
0251A;hu_b1_mny12_0272
0289B;hu_b1_mny12_0309
0308A;hu_b1_mny12_0328
0326B;hu_b1_mny12_0347
0330B;hu_b1_mny12_0351
0337A;hu_b1_mny12_0358
